City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,badger,64.8,-147.5333,17.14,57,75,4.12,US,1717477632
1,longyearbyen,78.2186,15.6401,3.91,81,75,10.8,SJ,1717477492
2,vallenar,-28.5708,-70.7581,17.31,62,100,0.67,CL,1717477632
3,grytviken,-54.2811,-36.5092,-0.54,87,45,4.29,GS,1717477632
4,ancud,-41.8697,-73.8203,8.65,86,100,5.12,CL,1717477633
5,yemetsk,63.4721,41.7941,21.26,74,86,1.74,RU,1717477633
6,punta arenas,-53.15,-70.9167,-0.94,93,0,2.06,CL,1717477545
7,port-aux-francais,-49.35,70.2167,1.72,75,95,16.89,TF,1717477633
8,suva,-18.1416,178.4415,24.71,73,75,2.57,FJ,1717477633
9,hermanus,-34.4187,19.2345,16.56,92,99,7.63,ZA,1717477633
10,whitehorse,60.7161,-135.0538,12.95,63,100,4.02,CA,1717477633
11,turpan,42.9333,89.1667,31.25,20,98,2.24,CN,1717477633
12,kailua-kona,19.6406,-155.9956,26.98,84,0,2.57,US,1717477634
13,kavaratti,10.5669,72.642,28.95,80,100,3.35,IN,1717477634
14,new norfolk,-42.7826,147.0587,15.51,75,67,1.25,AU,1717477634
15,massenya,11.4039,16.1705,30.88,44,13,2.9,TD,1717477634
16,tazacorte,28.629,-17.9293,19.54,89,0,2.24,ES,1717477634
17,bethel,41.3712,-73.414,18.85,83,20,0.0,US,1717477429
18,albany,42.6001,-73.9662,18.77,74,52,0.89,US,1717477595
19,vozhega,60.4725,40.2213,19.67,78,94,2.81,RU,1717477634
20,ribeira grande,38.5167,-28.7,15.99,87,14,0.89,PT,1717477634
21,iqaluit,63.7506,-68.5145,-0.15,93,100,2.57,CA,1717477635
22,east london,-33.0153,27.9116,13.33,59,74,6.49,ZA,1717477635
23,iskateley,67.6803,53.1512,6.68,95,97,2.68,RU,1717477635
24,edinburgh of the seven seas,-37.0676,-12.3116,12.9,64,9,6.32,SH,1717477635
25,hadibu,12.65,54.0333,29.34,76,66,6.0,YE,1717477635
26,labuan,5.2767,115.2417,30.2,79,20,1.03,MY,1717477522
27,avarua,-21.2078,-159.775,23.03,73,100,2.06,CK,1717477635
28,mazagao,-0.115,-51.2894,27.03,98,100,2.22,BR,1717477355
29,yazykovo,55.2199,56.1353,20.08,79,100,4.63,RU,1717477635
30,fisterra,42.9049,-9.2629,12.64,85,4,2.28,ES,1717477636
31,papatowai,-46.5619,169.4708,8.42,65,97,2.54,NZ,1717477636
32,antsiranana,-12.2787,49.2917,25.39,62,58,7.8,MG,1717477636
33,el granada,37.5027,-122.4694,16.62,83,0,6.17,US,1717477636
34,jhanjharpur,26.2667,86.2833,38.73,32,0,4.33,IN,1717477422
35,antofagasta,-23.65,-70.4,15.6,91,88,0.83,CL,1717477546
36,guider,9.9342,13.9486,28.26,60,70,3.13,CM,1717477636
37,papao,-17.75,-149.55,25.82,75,100,5.73,PF,1717477636
38,preobrazheniye,42.9019,133.9064,12.17,86,100,2.32,RU,1717477636
39,tsiombe,-25.3,45.4833,20.35,80,21,3.23,MG,1717477636
40,porto murtinho,-21.6989,-57.8825,17.84,86,37,3.01,BR,1717477360
41,namibe,-15.1961,12.1522,17.15,83,36,1.63,AO,1717477637
42,constantia,44.1833,28.65,21.5,79,42,2.93,RO,1717477445
43,kapa'a,22.0752,-159.319,28.99,86,75,6.17,US,1717477561
44,zalingei,12.9096,23.4741,28.06,12,24,2.23,SD,1717477637
45,port elizabeth,-33.918,25.5701,11.16,96,0,1.54,ZA,1717477637
46,cabo san lucas,22.8909,-109.9124,27.01,57,0,4.47,MX,1717477637
47,demopolis,32.5176,-87.8364,21.97,100,0,0.0,US,1717477637
48,ain sukhna,29.6002,32.3167,27.17,35,0,2.26,EG,1717477344
49,adamstown,-25.066,-130.1015,21.38,79,95,4.21,PN,1717477638
50,fort st. john,56.2499,-120.8529,7.25,98,100,0.77,CA,1717477638
51,thompson,55.7435,-97.8558,10.09,81,75,5.66,CA,1717477638
52,bilibino,68.0546,166.4372,14.43,37,99,3.03,RU,1717477638
53,ushuaia,-54.8,-68.3,-0.27,98,100,0.34,AR,1717477638
54,college,64.8569,-147.8028,17.18,58,75,4.12,US,1717477638
55,kiffa,16.6166,-11.4045,30.88,18,3,2.96,MR,1717477638
56,blackmans bay,-43.0167,147.3167,14.85,81,27,0.89,AU,1717477638
57,eyl,7.9803,49.8164,29.6,59,94,10.54,SO,1717477638
58,priob'ye,62.5206,65.5964,12.24,54,100,3.87,RU,1717477639
59,tremonton,41.7119,-112.1655,16.9,89,81,0.45,US,1717477639
